Countries,Confirmed,Deaths,Recovered
United States,188172,3873,7024
Italy,105792,12428,15769
Spain,95923,8464,19259
China,81565,3305,76078
Germany,71808,775,16100
Iran,44605,2898,14656
United Kingdom,25150,1789,135
Switzerland,16605,433,1823
Turkey,13531,214,243
Belgium,12775,705,1696
Netherlands,12595,1039,250
Austria,10180,128,1095
Korea,9786,162,5408
Canada,8521,100,0
Portugal,7443,160,43
